id	status	priority	kind	asm_file	start_ref	end_ref	target_file	depends_on	description	owner_lane
sf-istrat-table-audit	done	P0	istrat	reference/ultrastarfox/SF/STRAT/ISTRATS.ASM	rader0	skillfly	src/strat/strat_table.c	-	Audit and fix current hand-written ISTRAT indices against ISTRATS.ASM before more slice reuse.	strat
sf-path-pathdata-fidelity	done	P0	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	save	chase8_1	src/path/path_literals.c	sf-path-pathdata-route1	Fix known literal drift in already-ported PATHDATA slices: meter messages and ponpon weapon literal.	path
sf-path-dpathdat-fidelity	done	P0	path	reference/ultrastarfox/SF/PATH/DPATHDAT.ASM	tow_0	robexplode	src/path/path_literals.c	sf-path-dpathdat-route1	Fix known literal drift in already-ported DPATHDAT slices: tow_0 args and robexplode inline flag setup.	path
sf-map-level1_1-tail	done	P0	map	reference/ultrastarfox/SF/MAPS/LEVEL1_1.ASM	L69	L74	src/map/levels.c	sf-map-map1_1b-boss	Complete the LEVEL1_1 return tail after map1_1b with delayed spawns, cl_ground, and mapend.	map
sf-map-cl_ground	done	P0	map	reference/ultrastarfox/SF/MAPS/CL_GND.ASM	cl_ground	maprts	src/map/levels.c	sf-map-level1_1-tail	Port the shared clear-demo ground submap.	map
sf-map-map1_1a-scramble	done	P1	map	reference/ultrastarfox/SF/MAPS/MAP1_1A.ASM	map1_1a	maprts	src/map/levels.c	sf-map-level1_1-tail	Backfill the shared scramble submap used by LEVEL1_1, LEVEL2_1, and LEVEL3_1.	map
sf-shape-boss7-path-ids	done	P1	shape	reference/ultrastarfox/SF/SHAPES/SHAPES2.ASM	BOSS_7_0	BOSS_7_4	src/path/path_literals.c	sf-path-dpathdat-route1	Replace temporary boss7 sentinel shape ids in literal paths.	path
sf-shape-boss7-strat-ids	done	P1	shape	reference/ultrastarfox/SF/SHAPES/SHAPES2.ASM	BOSS_7_0	BOSS_7_4	src/strat/strat_enemy.c	sf-shape-boss7-path-ids	Replace SH_BOSS_7_PART proxy with canonical runtime ids in boss7 strategy code.	strat
sf-shape-boss7-meshes	done	P1	shape	reference/ultrastarfox/SF/SHAPES/SHAPES2.ASM	BOSS_7_0	BOSS_7_4	src/renderer/shapes.c	sf-shape-boss7-strat-ids	Register real boss7 part meshes in the renderer.	renderer
sf-map-level1_2-wrapper	done	P1	map	reference/ultrastarfox/SF/MAPS/LEVEL1_2.ASM	level1_2	mapend 4	src/map/levels.c	sf-map-cl_ground,sf-map-map1_1a-scramble	Port the LEVEL1_2 wrapper around MAP1_2 and cl_warp.	map
sf-path-pathdata-astemsg-messages	done	P1	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	astemsg	mes_message	src/path/path_literals.c	sf-map-level1_2-wrapper	Port the asteroid-belt message block and add MSG2 builder support.	path
sf-path-pathdata-chase7	done	P1	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	chase7_1	chase7_2	src/path/path_literals.c	sf-map-level1_2-wrapper	Port the next chase/friend pair reused by route2 and route3 openings.	path
sf-path-dpathdat-space-support	done	P1	path	reference/ultrastarfox/SF/PATH/DPATHDAT.ASM	my_bird	ring	src/path/path_literals.c	sf-map-level1_2-wrapper	Port low-risk space support paths needed by asteroid-belt slices.	path
sf-path-pathdata-route2-chase1	done	P1	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	chase1_1	chase1_2	src/path/path_literals.c	sf-map-level1_2-wrapper	Port the route2 chase1 friend pair used by MAP1_2.	path
sf-path-pathdata-route2-pyonta	done	P1	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	pyonta	pyonta_hit	src/path/path_literals.c	sf-map-level1_2-wrapper	Port the pyonta walker path used by MAP1_2.	path
sf-path-pathdata-route2-chase4	done	P1	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	chase4_1	chase4_3	src/path/path_literals.c	sf-map-level1_2-wrapper	Port the route2 chase4 path trio used by MAP1_2.	path
sf-istrat-dstrats-cameleon	done	P1	istrat	reference/ultrastarfox/SF/STRAT/DSTRATS.ASM	cameleon_istrat	cameleon_strat	src/strat/strat_enemy.c	sf-istrat-table-audit	Port cameleon behavior needed by MAP1_2.	strat
sf-istrat-gastrats-worm-item7	done	P1	istrat	reference/ultrastarfox/SF/STRAT/GASTRATS.ASM	wormhead_Istrat	item7_strat	src/strat/strat_enemy.c	sf-istrat-table-audit	Port worm, wormhead, and item7 subset needed by MAP1_2.	strat
sf-istrat-ga2strat-tadpole-gate2	done	P1	istrat	reference/ultrastarfox/SF/STRAT/GA2STRAT.ASM	tadpole_Istrat	gate2_strat	src/strat/strat_enemy.c	sf-istrat-table-audit	Port tadpole and gate2 subset needed by MAP1_2 black-hole slice.	strat
sf-istrat-gbstrats-boss1	done	P1	istrat	reference/ultrastarfox/SF/STRAT/GBSTRATS.ASM	boss1_Istrat	boss1 fight core	src/strat/strat_enemy.c	sf-istrat-table-audit	Port boss1 core needed by MAP1_2 boss block.	strat
sf-map-map1_2-opening	done	P1	map	reference/ultrastarfox/SF/MAPS/MAP1_2.ASM	L7	L42	src/map/levels.c	sf-path-pathdata-astemsg-messages,sf-istrat-dstrats-cameleon,sf-istrat-gastrats-worm-item7	Port MAP1_2 opening through the first mini-worm slice.	map
sf-map-map1_2-middle	done	P1	map	reference/ultrastarfox/SF/MAPS/MAP1_2.ASM	L46	L109	src/map/levels.c	sf-map-map1_2-opening,sf-path-pathdata-route2-chase1,sf-path-pathdata-route2-pyonta,sf-path-pathdata-route2-chase4	Port MAP1_2 through the cameleon/item/friend block.	map
sf-map-map1_2-blackhole	done	P1	map	reference/ultrastarfox/SF/MAPS/MAP1_2.ASM	L110	L157	src/map/levels.c	sf-map-map1_2-middle,sf-path-dpathdat-space-support,sf-istrat-ga2strat-tadpole-gate2	Port MAP1_2 through the worm/tadpole/black-hole setup.	map
sf-map-map1_2-boss	done	P1	map	reference/ultrastarfox/SF/MAPS/MAP1_2.ASM	map12boss	maprts	src/map/levels.c	sf-map-map1_2-blackhole,sf-istrat-gbstrats-boss1	Port MAP1_2 boss block.	map
sf-map-level2_1-wrapper	done	P2	map	reference/ultrastarfox/SF/MAPS/LEVEL2_1.ASM	level2_1	mapjsr map2_1b	src/map/levels.c	sf-map-map1_1a-scramble	Port the LEVEL2_1 wrapper through the handoff into MAP2_1B.	map
sf-istrat-gastrats-houdai	done	P2	istrat	reference/ultrastarfox/SF/STRAT/GASTRATS.ASM	houdaiNS_Istrat	houdai_strat	src/strat/strat_enemy.c	sf-istrat-table-audit	Port houdai and houdaiNS gun emplacements used by route2 and route3.	strat
sf-istrat-kstrats-zaco3	done	P2	istrat	reference/ultrastarfox/SF/STRAT/KSTRATS.ASM	zaco3_Istrat	zaco3 family	src/strat/strat_enemy.c	sf-istrat-table-audit	Port zaco3 and remove the current table collision with later slices.	strat
sf-map-map2_1b-body	done	P2	map	reference/ultrastarfox/SF/MAPS/2-1.ASM	2-1-1	2-1-3	src/map/levels.c	sf-map-level2_1-wrapper,sf-path-pathdata-chase7,sf-istrat-gastrats-houdai,sf-istrat-kstrats-zaco3	Port the first bounded MAP2_1B / 2-1 body slices.	map
sf-map-map2_1b-boss	done	P2	map	reference/ultrastarfox/SF/MAPS/MAP2_1B.ASM	fadeoutbgm	maprts	src/map/levels.c	sf-map-map2_1b-body,sf-istrat-gb3strat-boss7-core	Reuse the boss7 boss block in route2.	map
sf-map-level3_1-wrapper	done	P2	map	reference/ultrastarfox/SF/MAPS/LEVEL3_1.ASM	level3_1	mapjsr map3_1b	src/map/levels.c	sf-map-map1_1a-scramble	Port the LEVEL3_1 wrapper through the handoff into MAP3_1B.	map
sf-path-pathdata-patrol-ext	done	P2	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	patret_irab	inter_sub	src/path/path_literals.c	sf-map-level3_1-wrapper	Port the next patrol helper block used by route3 friend logic.	path
sf-map-map3_1b-opening	done	P2	map	reference/ultrastarfox/SF/MAPS/3-1.ASM	3-1-1	3-1-2	src/map/levels.c	sf-map-level3_1-wrapper,sf-path-pathdata-chase7,sf-path-pathdata-patrol-ext,sf-istrat-gastrats-houdai	Port the opening route3 ground slice.	map
sf-istrat-gb3strat-bossA	done	P2	istrat	reference/ultrastarfox/SF/STRAT/GB3STRAT.ASM	bossA_Istrat	bossA fight core	src/strat/strat_enemy.c	sf-istrat-table-audit	Port bossA core for MAP3_1B.	strat
sf-map-map3_1b-boss	done	P2	map	reference/ultrastarfox/SF/MAPS/MAP3_1B.ASM	fadeoutbgm	maprts	src/map/levels.c	sf-map-map3_1b-opening,sf-istrat-gb3strat-bossA	Port the MAP3_1B boss block.	map
sf-istrat-kstrats-zaco0	done	P2	istrat	reference/ultrastarfox/SF/STRAT/KSTRATS.ASM	zaco0_istrat	zaco0d_strat	src/strat/strat_enemy.c	sf-istrat-table-audit	Port zaco0 sweep/turn/fire behavior needed by remaining route2 and route3 ground slices.	strat
sf-istrat-d2strats-para	done	P2	istrat	reference/ultrastarfox/SF/STRAT/D2STRATS.ASM	para_istrat	parajump_strat	src/strat/strat_enemy.c	sf-istrat-table-audit	Port para dropper behavior used by carrier in route2.	strat
sf-istrat-kstrats-carrier	done	P2	istrat	reference/ultrastarfox/SF/STRAT/KSTRATS.ASM	carrier_istrat	carrierc_strat	src/strat/strat_enemy.c	sf-istrat-d2strats-para	Port carrier enemy and its para-spawn handoff used by MAP2_1B.	strat
sf-istrat-d3strats-base1	done	P2	istrat	reference/ultrastarfox/SF/STRAT/D3STRATS.ASM	base_1_istrat	.other2	src/strat/strat_enemy.c	sf-istrat-table-audit	Port base_1 door animation logic used by route3 base sections.	strat
sf-map-map2_1b-middle	done	P2	map	reference/ultrastarfox/SF/MAPS/2-1.ASM	first zaco0_istrat	pathcspecial 1400,-1500,-700,2000,zaco_5,patrol	src/map/levels.c	sf-map-map2_1b-body,sf-istrat-kstrats-zaco0	Port the next route2 2-1-3 formation/gate slice through the patrol handoff.	map
sf-map-map2_1b-tail	done	P2	map	reference/ultrastarfox/SF/MAPS/2-1.ASM	pathcspecial 1000,0000,-50,3500,bom_wing,ponpon	EOF	src/map/levels.c	sf-map-map2_1b-middle	Port the remaining 2-1.ASM tail through the last tower-path pair before MAP2_1B.ASM boss logic.	map
sf-map-map3_1b-middle	done	P2	map	reference/ultrastarfox/SF/MAPS/3-1.ASM	3-1-2 base	CITY1	src/map/levels.c	sf-map-map3_1b-opening,sf-istrat-d3strats-base1	Port the route3 base/pillars slice up to the first CITY1 zaco0 block.	map
sf-path-pathdata-falcon3_1	done	P2	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	falcon3_1	falcon3_1 end	src/path/path_literals.c	sf-map-map3_1b-middle	Port the route3 friend path used by the first CITY1 slice.	path
sf-map-map3_1b-city1-gate	done	P2	map	reference/ultrastarfox/SF/MAPS/3-1.ASM	CITY1	;3-1-3	src/map/levels.c	sf-map-map3_1b-middle,sf-path-pathdata-falcon3_1	Port the first CITY1 through gate block before the carrier_robot section.	map
sf-map-map3_1b-carrier-robot	done	P3	map	reference/ultrastarfox/SF/MAPS/3-1.ASM	;carrier_robot	EOF	src/map/levels.c	sf-map-map3_1b-city1-gate	Port the remaining 3-1.ASM carrier_robot and big_gate tail.	map
sf-istrat-gcstrats-clear-gnd-warp	done	P3	istrat	reference/ultrastarfox/SF/STRAT/GCSTRATS.ASM	clshipWARPa_Istrat	clshipGND_cont	src/strat/strat_enemy.c	sf-map-level1_1-tail,sf-map-level1_2-wrapper	Port the active clear-demo GND/WARP ship family used by CL_GND and CL_WARP.	strat
sf-istrat-gcstrats-clear-earth-chase	done	P3	istrat	reference/ultrastarfox/SF/STRAT/GCSTRATS.ASM	clshipEARTHa_Istrat	clshipCHASEboost_strat	src/strat/strat_enemy.c	sf-istrat-gcstrats-clear-gnd-warp	Port the next clear-demo ship families used by CL_EARTH and CL_CHASE.	strat
sf-map-cl_earth	done	P3	map	reference/ultrastarfox/SF/MAPS/CL_EARTH.ASM	cl_earth	maprts	src/map/levels.c	sf-istrat-gcstrats-clear-earth-chase	Port the shared ClearEarth demo helper.	map
sf-map-cl_chase	done	P3	map	reference/ultrastarfox/SF/MAPS/CL_CHASE.ASM	cl_chase	maprts	src/map/levels.c	sf-istrat-gcstrats-clear-earth-chase	Port the shared ClearChase demo helper.	map
sf-path-pathdata-sectorx-opening	done	P2	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	check	chase2_2	src/path/path_literals.c	-	Port the Sector X opening path ids used before the first space-bar gauntlet: check, egu6, chase2_1, chase2_2.	path
sf-map-spacebar-runtime-core	done	P2	helper	reference/ultrastarfox/SF/INC/MAPMACS.INC	map_setbarshape	map_SBtype7	src/map/levels.c,src/game/world.c	-	Port the opening space-bar macro/runtime subset needed by MAP2_2 through the first up1man reward block.	map
sf-map-spacebar-runtime-extended	done	P3	helper	reference/ultrastarfox/SF/INC/MAPMACS.INC	map_SBtype3	map_SBtype15	src/map/levels.c,src/game/world.c	sf-map-spacebar-runtime-core	Port the middle space-bar macro/runtime subset needed before the first chase3_1 block in MAP2_2.	map
sf-map-spacebar-runtime-tail	done	P4	helper	reference/ultrastarfox/SF/INC/MAPMACS.INC	map_SBtype14	map_SBtype14	src/map/levels.c,src/game/world.c	sf-map-spacebar-runtime-extended	Port the tail-only static space-bar pattern used after the first chase3_1 block.	map
sf-istrat-ga2strat-spacebarshoot	done	P4	istrat	reference/ultrastarfox/SF/STRAT/GA2STRAT.ASM	spacebarshoot_Istrat	spacebarspinshoot_strat	src/strat/strat_enemy.c,src/strat/strat_enemy.h,src/strat/strat_table.c	sf-istrat-ga2strat-spacebarwalker	Port `spacebarshoot_Istrat` as the shooter runtime used by later space-bar macro rows.	strat
sf-map-spacebar-runtime-shooters	done	P4	helper	reference/ultrastarfox/SF/INC/MAPMACS.INC	map_SBtype16	map_SBtype17	src/map/levels.c,src/game/world.c	sf-map-spacebar-runtime-tail,sf-istrat-ga2strat-spacebarshoot	Port the shooter space-bar macro subset (`SBtype16/17`) after the static patterns are in place.	map
sf-istrat-ga2strat-spacebarwalker	done	P2	istrat	reference/ultrastarfox/SF/STRAT/GA2STRAT.ASM	spacebarwalker_Istrat	spacebarwalker_strat	src/strat/strat_enemy.c,src/strat/strat_enemy.h,src/strat/strat_table.c	-	Port `spacebarwalker_Istrat`, which the MAP2_2 opening already spawns.	strat
sf-istrat-gastrats-up1man	done	P2	istrat	reference/ultrastarfox/SF/STRAT/GASTRATS.ASM	item0_Istrat	up1manchild_strat	src/strat/strat_enemy.c,src/strat/strat_enemy.h,src/strat/strat_table.c	sf-istrat-ga2strat-spacebarwalker	Port the live 1-up core: `item0_Istrat` through `up1manchild_strat`, plus the public `up1man` table registration.	strat
sf-istrat-gastrats-flashplayer	done	P5	istrat	reference/ultrastarfox/SF/STRAT/GASTRATS.ASM	flashplayer_Istrat	flashplayer_Istrat	src/strat/strat_enemy.c,src/strat/strat_enemy.h,src/strat/strat_table.c	sf-istrat-gastrats-up1man	Port the deferred shared pickup follow/flash behavior only after the live 1-up core is in place.	strat
sf-map-map2_2-opening	done	P2	map	reference/ultrastarfox/SF/MAPS/MAP2_2.ASM	map2_2	mapwait 2000	src/map/levels.c	sf-path-pathdata-sectorx-opening,sf-map-spacebar-runtime-core,sf-istrat-ga2strat-spacebarwalker,sf-istrat-gastrats-up1man	Port the MAP2_2 opening through the first up1man reward block.	map
sf-path-pathdata-sectorx-middle	done	P3	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	chase3_1	e_shieldr	src/path/path_literals.c	sf-path-pathdata-sectorx-opening	Port the next Sector X path ids: chase3_1, chase3_2, and e_shieldr.	path
sf-path-pathdata-sectorx-egu-friend	done	P4	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	egu6_irab	egu6_ifal	src/path/path_literals.c	sf-path-pathdata-sectorx-opening	Port the egu6 friend variants used by later Sector X and route-3 space slices.	path
sf-map-map2_2-middle	done	P3	map	reference/ultrastarfox/SF/MAPS/MAP2_2.ASM	mapwait 2000	first chase3_1	src/map/levels.c	sf-map-map2_2-opening,sf-path-pathdata-sectorx-middle,sf-map-spacebar-runtime-extended	Port the MAP2_2 middle slice through the first chase3_1/e_shieldr block.	map
sf-map-map2_2-tail	done	P3	map	reference/ultrastarfox/SF/MAPS/MAP2_2.ASM	MAP2_2:164	MAP2_2:176	src/map/levels.c	sf-map-map2_2-middle,sf-map-spacebar-runtime-tail	Port the first bounded MAP2_2 tail slice through line 176, before the moving-bar shooter wall.	map
sf-map-map2_2-tail-shooters	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP2_2.ASM	MAP2_2:181	EOF	src/map/levels.c	sf-map-map2_2-tail,sf-map-spacebar-runtime-shooters,sf-istrat-ga2strat-spacebarshoot,sf-path-pathdata-sectorx-egu-friend	Port the moving-bar shooter wall and remaining MAP2_2 tail after the static post-chase slice.	map
sf-map-level2_2-wrapper	done	P3	map	reference/ultrastarfox/SF/MAPS/LEVEL2_2.ASM	level2_2	mapend	src/map/levels.c	sf-map-map2_2-tail-shooters,sf-map-cl_earth	Port the LEVEL2_2 wrapper around MAP2_2 and cl_earth.	map
sf-map-map2_3a	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP2_3A.ASM	map2_3a	EOF	src/map/levels.c	sf-map-level2_2-wrapper	Port MAP2_3A literally in C.	map
sf-map-map2_3b	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP2_3B.ASM	map2_3b	EOF	src/map/levels.c	sf-map-map2_3a	Port MAP2_3B literally in C.	map
sf-map-map2_3c	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP2_3C.ASM	map2_3c	EOF	src/map/levels.c	sf-map-map2_3b	Port MAP2_3C literally in C.	map
sf-map-map2_4	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP2_4.ASM	map2_4	EOF	src/map/levels.c	sf-map-map2_2-tail,sf-path-pathdata-sectorx-middle	Port MAP2_4 literally in C.	map
sf-map-map2_5	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP2_5.ASM	map2_5	EOF	src/map/levels.c	sf-map-map2_4,sf-path-pathdata-sectorx-egu-friend	Port MAP2_5 literally in C.	map
sf-map-level2_6	done	P5	map	reference/ultrastarfox/SF/MAPS/LEVEL2_6.ASM	level2_6	mapend	src/map/levels.c	sf-map-map2_5	Port LEVEL2_6 and its direct map handoff literally in C.	map
sf-map-level1_3	done	P4	map	reference/ultrastarfox/SF/MAPS/LEVEL1_3.ASM	level1_3	.start1	src/map/levels.c	sf-map-level1_2-wrapper	Port the LEVEL1_3 opening wrapper slice plus `cl_warpout` and `map1_3a`, stopping before the ship1 loop.	map
sf-map-level1_3-ship1	done	P5	map	reference/ultrastarfox/SF/MAPS/LEVEL1_3.ASM	.again1	MAP1_3A1:10	src/map/levels.c	sf-map-level1_3	Port the first bounded ship1 slice: `LEVEL1_3.ASM:16-23` plus `MAP1_3A1.ASM:2-10`, stopping before `patcom`.	map
sf-map-level1_3-ship2	done	P5	map	reference/ultrastarfox/SF/MAPS/LEVEL1_3.ASM	.again2	.oks2	src/map/levels.c	sf-map-level1_3-ship1,sf-path-pathdata-sectorx-middle	Port the LEVEL1_3 ship2 wrapper plus `MAP1_3A2` / `MAP1_3B2` helpers literally in C.	map
sf-map-level1_3-tail	done	P5	map	reference/ultrastarfox/SF/MAPS/LEVEL1_3.ASM	.bigship	mapend	src/map/levels.c	sf-map-level1_3-ship2	Port the LEVEL1_3 tail plus `MAP1_3C` / `MAP1_3D` / `CL_SHIP1_3` literally in C.	map
sf-map-level1_4	done	P4	map	reference/ultrastarfox/SF/MAPS/LEVEL1_4.ASM	level1_4	mapend	src/map/levels.c	sf-map-level1_3-tail	Port LEVEL1_4 literally in C.	map
sf-map-level1_5	done	P4	map	reference/ultrastarfox/SF/MAPS/LEVEL1_5.ASM	level1_5	mapend	src/map/levels.c	sf-map-level1_4,sf-path-pathdata-sectorx-middle	Port LEVEL1_5 and MAP1_5 literally in C.	map
sf-map-level1_6	done	P5	map	reference/ultrastarfox/SF/MAPS/LEVEL1_6.ASM	level1_6	mapend	src/map/levels.c	sf-map-level1_5	Port LEVEL1_6 literally in C.	map
sf-path-pathdata-itachi-a	done	P3	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	itachi_a	itachi_a	src/path/path_literals.c,src/path/path_literals.h	-	Port the bounded `itachi_a` path slice needed by the first MAP3_2 opening slice.	path
sf-istrat-ga2strat-szaco2	done	P3	istrat	reference/ultrastarfox/SF/STRAT/GA2STRAT.ASM	szaco2_Istrat	szaco2_cont	src/strat/strat_enemy.c,src/strat/strat_enemy.h,src/strat/strat_table.c	-	Port `szaco2_Istrat` for the first MAP3_2 opening slice.	strat
sf-map-map3_2-opening	done	P3	map	reference/ultrastarfox/SF/MAPS/MAP3_2.ASM	MAP3_2:5	MAP3_2:33	src/map/levels.c	sf-path-pathdata-sectorx-opening,sf-path-pathdata-itachi-a,sf-istrat-ga2strat-szaco2	Port the first bounded MAP3_2 opening slice through line 33, stopping before the first `mapmother`.	map
sf-path-pathdata-itachi-b-bird	done	P4	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	bird_meteor	itachi_b	src/path/path_literals.c,src/path/path_literals.h	sf-path-pathdata-itachi-a	Port `bird_meteor` and `itachi_b` for the later MAP3_2 opening slices.	path
sf-map-map3_2-opening-b	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP3_2.ASM	MAP3_2:34	MAP3_2:79	src/map/levels.c	sf-map-map3_2-opening,sf-path-pathdata-itachi-b-bird	Port the second bounded MAP3_2 opening slice through line 79.	map
sf-map-map3_2-opening-c	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP3_2.ASM	MAP3_2:80	MAP3_2:127	src/map/levels.c	sf-map-map3_2-opening-b,sf-map-spacebar-runtime-core	Port the third bounded MAP3_2 opening slice through line 127, stopping before `chase3_1`.	map
sf-map-map3_2-tail	done	P3	map	reference/ultrastarfox/SF/MAPS/MAP3_2.ASM	first chase3_1	EOF	src/map/levels.c	sf-map-map3_2-opening-c,sf-path-pathdata-sectorx-middle,sf-path-pathdata-sectorx-egu-friend	Port the remaining MAP3_2 body through EOF.	map
sf-map-level3_2-wrapper	done	P3	map	reference/ultrastarfox/SF/MAPS/LEVEL3_2.ASM	level3_2	mapend	src/map/levels.c	sf-map-map3_2-tail,sf-map-cl_chase	Port the LEVEL3_2 wrapper around MAP3_2 and cl_chase.	map
sf-map-map3_3a	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP3_3A.ASM	map3_3a	EOF	src/map/levels.c	sf-map-level3_2-wrapper	Port MAP3_3A literally in C.	map
sf-map-map3_3b	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP3_3B.ASM	map3_3b	EOF	src/map/levels.c	sf-map-map3_3a	Port MAP3_3B literally in C.	map
sf-map-map3_4a	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP3_4A.ASM	map3_4a	EOF	src/map/levels.c	sf-map-map3_3b	Port MAP3_4A literally in C.	map
sf-map-map3_4b	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP3_4B.ASM	map3_4b	EOF	src/map/levels.c	sf-map-map3_4a,sf-path-pathdata-sectorx-middle	Port MAP3_4B literally in C.	map
sf-map-map3_4c	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP3_4C.ASM	map3_4c	EOF	src/map/levels.c	sf-map-map3_4b	Port MAP3_4C literally in C.	map
sf-map-map3_4_t	done	P4	map	reference/ultrastarfox/SF/MAPS/3-4-T.ASM	map3_4_t	EOF	src/map/levels.c	sf-map-map3_4c	Port 3-4-T literally in C.	map
sf-map-map3_5	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP3_5.ASM	map3_5	EOF	src/map/levels.c	sf-map-map3_4_t	Port MAP3_5 literally in C.	map
sf-map-map3_6	done	P4	map	reference/ultrastarfox/SF/MAPS/MAP3_6.ASM	map3_6	EOF	src/map/levels.c	sf-map-map3_5,sf-path-pathdata-sectorx-middle	Port MAP3_6 literally in C.	map
sf-map-map3_7a	done	P5	map	reference/ultrastarfox/SF/MAPS/MAP3_7A.ASM	map3_7a	EOF	src/map/levels.c	sf-map-map3_6	Port MAP3_7A literally in C.	map
sf-map-map3_7b	done	P5	map	reference/ultrastarfox/SF/MAPS/MAP3_7B.ASM	map3_7b	EOF	src/map/levels.c	sf-map-map3_7a	Port MAP3_7B literally in C.	map
sf-map-map3_7c	done	P5	map	reference/ultrastarfox/SF/MAPS/MAP3_7C.ASM	map3_7c	EOF	src/map/levels.c	sf-map-map3_7b	Port MAP3_7C literally in C.	map
sf-path-pathdata-e_flower	done	P4	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	e_flower	e_flopen	src/path/path_literals.c,src/path/paths.c	-	Port the small flower pollen path pair literally in C, including the bounded `P_POLLEN` runtime bridge it needs.	path
sf-istrat-gistrats-shipintro	done	P4	istrat	reference/ultrastarfox/SF/STRAT/GISTRATS.ASM	shipintro_Istrat	shipintro_strat	src/strat/strat_player.c,src/strat/strat_table.c	-	Port shipintro_Istrat, which MAP1_1A still depends on.	strat
sf-runtime-shape-word-resolution	done	P5	helper	reference/ultrastarfox/SF/INC/MAPMACS.INC	raw shape words	shape resolution	src/game/world.c,src/renderer/shapes.c	-	Add bounded raw/16-bit shape-word resolution for live map/path literals that still pass shape words.	renderer
