SLIMECOUNT	$0000162b
FACE_1_F21	$0011ed42
FACE_1_F14	$0011ec57
FACE_1_F22	$0011ed56
FACE_1_F16	$0011ec62
FACE_1_F17	$0011ec7f
FACE_1_F24	$0011ed61
FACE_1_F25	$0011ed6d
FACE_1_F18	$0011ece4
FACE_1_F19	$0011ed37
FACE_1_F27	$0011ed78
FACE_1_F28	$0011ed96
FACE_0_1_F	$000ff05b
FACE_0_1_P	$000feb81
FACE_0_1	$000f8000
FACE_BOX_F	$000cea36
FACE_BOX_P	$000cea1f
FACE_0_F	$000fe886
FACE_1_F	$0011ea22
FACE_0_P	$000fe29e
FACE_1_P	$0011e1fe
FACE_BOX	$000c8000
FACE_B_F	$000fe187
FACE_0_1_EBSP	$000ff329
FACE_B_P	$000fe178
FACE_0_1_F10	$000ff1ed
FACE_0_1_F11	$000ff214
FACE_0_1_F12	$000ff282
FACE_0_1_F13	$000ff296
FACE_0_1_F1	$000ff126
FACE_0_1_F3	$000ff131
FACE_0_1_F4	$000ff1cc
FACE_0_1_F6	$000ff1d7
FACE_0_1_F8	$000ff1e2
FACE_0_EBSP	$000feb80
FACE_1_EBSP	$0011edb3
FACEDATA	$0017b5f4
DEADTXT	$0001e81a
DEADNAMEPOS	$0002e7a1
DEADFLINGBOSS_ISTRAT	$0009b26d
CGADD	$00002121
CGADSUB	$00002131
AVAIL_L	$000af941
ALBLKS	$00000338
BALLMISSILEAP	$00000010
BALLMISSILEHP	$00000006
BLACKHOLE	$00009864
FADETORED	$00001a10
FADEDIR	$00001932
FADEPAL	$000019f7
FADE	$00001933
CHAR_SIZE	$00000020
CHARBANKS	$0001d914
CHARS	$0003bc34
FADEWHITE2NORM_L	$0002fa55
FADEWHITE_L	$0002f880
FADETOSEADO	$0003e339
FADECOUNT	$00001647
FADELINES	$0003c092
FADETABLE	$0003ca69
FADERED_L	$0002f305
FADEWHITE	$0002f884
BLACK_C	$0003807c
FADELINES2	$0003c092
FADECHARSIN	$0003c094
FADEWHITE2NORM	$0002fa59
FADECOL0	$0003c06d
BALLANDCHAIN_C	$00038556
FADETAB0	$0003c829
FADEHALF2NORM	$0002ec53
FADEPALTO_L	$0002f23d
FADETOGROUNDDO	$0003e353
BLACKHOLE_C	$00038562
CHASE_INIT	$0004d8a2
BLACKHOLEMAP	$000deb9b
FADETONORM_L	$00218b96
CHANGEVIEWMODE_L	$0021ba93
DFALLYVEC_X	$000980cb
BLACK_HOLEBGM	$000afc47
BLACKHOLEEXIT_ISTRAT	$000a928f
BLACK_HOLEBGMLEN	$000001a8
BLACKHOLE_ISTRAT	$000addfe
BLACKHOLE	$0011edb4
BM	$000000ff
BGBMPAC	$007f0ae0
BGBCCR	$0014dad0
BGBHOLECCR	$0016a530
BGBPCR	$0014db5c
BGBHOLEPCR	$0016e978
BANDLEN	$00002db0
BGBMCCR	$0014f458
BAND	$0019d202
BECOMEOBJ	$007ef15c
AFEXP	$00000001
BECOMEPATH	$007ef15e
ABORT_VE	$0000d12b
ABORT_VN	$0000d12b
BECOMELASTOBJ	$007ef160
MYSHIP_4	$0000bb7f
MYSHIP_B	$0000bc43
MYSHIP_L	$0000bbd3
MYSHIP_R	$0000bc0b
MYSHIP_4	$0011f0e6
MYSHIP_R_F10	$0011f509
MYSHIP_B	$0011f0e6
MYSHIP_L	$0011f0e6
MYSHIP_R	$0011f0e6
MYSHIP_L_EBSP	$0011f3f5
MYSHIP_R_EBSP	$0011f538
MYSHIP_4_F	$0011f196
MYSHIP_4_P	$0011f173
MYSHIP_B_F	$0011f55c
MYSHIP_B_P	$0011f539
MYSHIP_L_F	$0011f2d9
MYSHIP_L_P	$0011f2b3
MYSHIP_R_F	$0011f41c
MYSHIP_R_P	$0011f3f6
MYSHIP_4_F1	$0011f1f0
MYSHIP_4_F3	$0011f1fb
MYSHIP_4_F5	$0011f206
MYSHIP_4_F6	$0011f22c
MYSHIP_4_F7	$0011f264
MYSHIP_4_F9	$0011f26f
MYSHIP_B_F1	$0011f5b6
MYSHIP_B_F3	$0011f5c1
MYSHIP_B_F5	$0011f5cc
MYSHIP_B_F6	$0011f5f2
MYSHIP_B_F7	$0011f62a
MYSHIP_B_F9	$0011f635
MYSHIP_L_F1	$0011f333
MYSHIP_L_F3	$0011f33e
MYSHIP_L_F5	$0011f349
MYSHIP_L_F6	$0011f36f
MYSHIP_L_F7	$0011f3a7
MYSHIP_L_F9	$0011f3b2
MYSHIP_R_F1	$0011f476
MYSHIP_R_F3	$0011f481
MYSHIP_R_F5	$0011f48c
MYSHIP_R_F6	$0011f4b2
MYSHIP_R_F7	$0011f4ea
MYSHIP_R_F9	$0011f4f5
MYSHIP_4_EBSP	$0011f2b2
MYSHIP_4_F10	$0011f283
MYSHIP_B_EBSP	$0011f678
MYSHIP_B_F10	$0011f65b
MYSHIP_L_F10	$0011f3d8
JMPVEC	$0000007a
MTHLINES	$0001a44c
JMPTOSTRAT	$001fdbb8
JMPTOSTRATX_JML	$001fdc3d
B1	$0000000a
B2	$0000000d
AFFRONTPL	$00000008
BARRIER	$0000b217
BARRELROLLDELAY	$00000003
CBF_SCALE	$0000000f
CLASTEROID	$00009848
CBF_NOROT	$00000000
CLA1	$00000016
CLA2	$00000018
CLAC	$0000001e
CLAM	$00000020
CBF_ROTY	$00000020
CBF_ROTX	$00000040
CBF_ROTZ	$00000010
CBF_ROTXYZ	$00000080
CALCTOTALSCORE	$0002e498
CALCMETERS	$0002d8f6
CALCBG2VOFFSETS	$0002d746
BRAKELIGHT_A1	$0003890a
CALCTOTALSCORE_L	$0002e494
BARRIER_COL	$007e6fae
CALCBG2VOFFSETS_L	$0002d742
CALCDXDY	$0003bde9
BARRIER_COL2	$007e6fc0
CALCSTAGEPERC	$0002e7ad
CALCBGSCROLL_L	$0021bb5a
CALCTEAMDAMAGE_L	$0021bb24
BARRIERAP	$0000000c
BARRIERHP	$00000006
BARRIER_ISTRAT	$0009cb7b
CLASTEROID_STRAT	$000af915
CLASTEROID_ISTRAT	$000af8ee
BARRIER_F	$000f8db6
BARRIER_P	$000f8638
BARRIER	$000f8000
CLASTEROID	$0011edb4
BARRIER_EBSP	$000f8ebc
BARRIER_F1	$000f8e02
BARRIER_F3	$000f8e0e
BARRIER_F5	$000f8e1a
BARRIER_F6	$000f8ea4
BARRIER_F7	$000f8eb0
BASE_1_ISTRAT	$002099d1
BASE_1	$0000a353
BASE_0	$0000d00f
BASE_0_0	$0000cfbb
BASE_0_1	$0000cfd7
BASE_0_COLR1	$007e79aa
BASE_0_COLR2	$007e79bc
BASE_0_COLR3	$007e79ce
BASE_0_COLR4	$007e79e0
BASE_0_COLR5	$007e79f2
BASE_0_COLR6	$007e7a04
BASE_0_COLR7	$007e7a16
BASE_0_COLR8	$007e7a28
BASE_0_COLR9	$007e7a3a
BASE_0_COL1	$007e78d2
BASE_0_COL2	$007e78e4
BASE_0_COL3	$007e78f6
BASE_0_COL4	$007e7908
BASE_1_COL1	$007e7e2a
BASE_1_COL2	$007e7e3c
BASE_1_COL3	$007e7e4e
BASE_1_COL4	$007e7e60
BASE0_STRAT	$000a8857
BASE1_STRAT	$000a88cd
BASE0_ISTRAT	$000a8817
BASE1_ISTRAT	$000a88a8
BASE0B_STRAT	$000a8881
BASE_1	$000c8000
BASE_0	$000cec42
BASE_0_F1	$000cf4f4
BASE_1_F1	$000cc248
BASE_1_F3	$000cc254
BASE_1_F5	$000cc260
BASE_1_F6	$000cc28b
BASE_1_F8	$000cc297
BASE_1_F9	$000cc2c2
BASE_1_F11	$000cc2ce
BASE_1_F12	$000cc2da
BASE_1_F20	$000cc375
BASE_1_F14	$000cc2e6
BASE_1_F16	$000cc2f2
BASE_1_F17	$000cc324
BASE_1_F19	$000cc330
BASE_0_0_F	$000cefc5
BASE_0_1_F	$000cf15e
BASE_0_0_P	$000ceedc
BASE_0_1_P	$000cf075
BASE_0_0	$000cec42
BASE_0_1	$000cec42
BASE_0_F	$000cf4b0
BASE_1_F	$000cc1b7
BASE_0_P	$000cf3d6
BASE_1_P	$000cc0fc
BASE_0_0_F1	$000cefee
BASE_0_1_F1	$000cf187
BASE_1_EBSP	$000cc392
MAC_STRATS	$007e321a
MACFEXISTS	$00000001
CAMELEONAP	$00000008
CAMELEONHP	$00000002
MACFRELAXIS	$00000002
MAC_NUMWEAPONS	$007e321a
CAMELEON	$00009ea2
MAC_AWEAPON	$007e321a
MAC_YWEAPONS	$007e321a
MCALCPERC	$0001b6b2
MCALC_CIRCLE	$0001aad7
MCALLARCTAN16	$000181aa
CAM2HIDE_INIT	$0008b9a5
CAM2POSX_TAB	$0008bae2
CAM2POSY_TAB	$0008baee
CAM2HIDE_STRAT	$0008b9c3
CAMELEON2_STRAT	$0008b959
CAM2DASH_STRAT	$0008ba1a
CAM2NEXTPOS	$0008b9d8
CAMELEON2_ISTRAT	$0008b937
CAMELEON2_CONT	$0008b9a0
CAM2DASH_INIT	$0008ba0d
CAMELEON_STRAT	$000995c0
CAMELEON_ISTRAT	$0009959d
CAMELEON_F	$000c929a
CAMELEON_P	$000c926e
CAMELEON_F1	$000c92f2
CAMELEON_F3	$000c92fe
CAMELEON_F4	$000c9338
CAMELEON_F6	$000c9344
CAMELEON_F7	$000c937e
CAMELEON	$000c8000
CAMELEON_EBSP	$000c93c8
MACBETH	$001ec138
MACBETHLEN	$00000c89
DEBUGINFO	$00000000
DEBUGFONT	$00000000
DEBUG_1	$000012b7
BTANK_1	$0000cf83
HEAD	$000019e4
HEAP	$0000a12f
TABSTART	$00008006
DEBUGCHARS	$0000869a
DEBUGALIEN	$000017fb
DEBUGFLASH	$00001802
DEBUGINFO2	$00000000
DEBOSS_0	$0000ce6b
DEBOSS_1	$0000ce87
DEBOSS_2	$0000b0ff
DEBUGSPACE	$0000869a
HEAPSIZE	$00005000
HEADFIRE_ISTRAT	$0009f7f0
DEBOSS_1_F11	$0011d808
DEBOSS_1_F12	$0011d838
DEBOSS_1_F20	$0011d8a2
DEBOSS_1_F14	$0011d844
DEBOSS_1_F15	$0011d86a
DEBOSS_1_F22	$0011d8ad
DEBOSS_1_F23	$0011d8dd
DEBOSS_1_F30	$0011d943
DEBOSS_1_F17	$0011d876
DEBOSS_1_F25	$0011d8e9
DEBOSS_1_F32	$0011d94e
DEBOSS_1_F33	$0011d96d
DEBOSS_1_F19	$0011d882
DEBOSS_1_F26	$0011d8fc
DEBOSS_1_F27	$0011d92d
DEBOSS_1_F29	$0011d939
DEBOSS_2_F10	$000eeef1
DEBOSS_2_F12	$000eeefd
DEBOSS_2_F13	$000eef11
DEBOSS_2_F15	$000eef1c
DEBOSS_2_F16	$000eef3b
DEBOSS_2_F18	$000eef47
DEBOSS_2_F19	$000eef59
DEBOSS_1_EBSP	$0011d994
DEBOSS_2_EBSP	$000eef75
BTANK_1	$000cec42
DEBOSS_0_F1	$0011d5a8
DEBOSS_1_F1	$0011d792
DEBOSS_1_F3	$0011d79e
DEBOSS_1_F5	$0011d7aa
DEBOSS_1_F7	$0011d7b6
DEBOSS_2_F1	$000eee73
DEBOSS_1_F8	$0011d7cc
DEBOSS_1_F9	$0011d7fc
DEBOSS_2_F3	$000eee7e
DEBOSS_2_F4	$000eeea6
DEBOSS_2_F6	$000eeeb1
DEBOSS_2_F8	$000eeebd
DEBOSS_2_F9	$000eeed2
DEBOSS_0	$00118000
DEBOSS_1	$00118000
DEBOSS_2	$000e8000
DEBOSS_0_F	$0011d579
DEBOSS_1_F	$0011d6be
DEBOSS_2_F	$000eee01
DEBOSS_0_P	$0011d522
DEBOSS_1_P	$0011d65b
DEBOSS_2_P	$000eed95
BGCONTPAC	$007f0480
BGCPPAC	$007f0e60
BGCPUSPAC	$007f0f40
BGCPPPAC	$007f1100
BGCPUSPPAC	$007f1020
SEVENSPR	$0003d3c9
BGCONTCCR	$001792d4
BGCONTPCR	$0017956c
BGCMCCR	$001787f8
BGCPCCR	$0017b5f4
BGCPPCR	$0017824c
BWARKER_3	$0000c653
BWARKER_3	$00118000
AFHIT	$00000020
ALDEAD	$000012d3
PCALL_FOL	$0004aa1f
PCARRIEDLOG	$0004e7fc
BEE1AP	$00000006
BEE1HP	$00000004
BEEANIM	$00009cc4
BEE1A_INIT	$0008e52e
BEE1_ISTRAT	$0008e332
BEE1B_INIT	$0008e5ca
BEE1_STRAT	$0008e371
BEE1A_STRAT	$0008e541
BEE1B_STRAT	$0008e5d7
BEEANIM	$000c8000
BEEANIM_EBSP	$000c8a0d
BEEANIM_F10	$000c89ee
BEEANIM_F1	$000c8963
BEEANIM_F3	$000c896e
BEEANIM_F5	$000c8979
BEEANIM_F6	$000c898d
BEEANIM_F7	$000c89ac
BEEANIM_F9	$000c89b7
BEEANIM_F	$000c8915
BEEANIM_P	$000c88c9
C1	$00000011
BAZZ_1	$0000cd53
BAZOOKA	$0000c68b
BAZZ_1P	$0000b8df
BAZZ_1Q	$0000b8fb
DMATEMP	$00001760
BAZOOKAAP	$00000010
BAZOOKAHP	$00000008
BZACO_8	$0000ab87
BAZOOKA1	$0000c6a7
BAZOOKA2	$0000c6c3
MDAMAGEMETER	$0001afbc
DMABG2VOFFSETS	$0002d7d8
GOTOBHOLEPLANETS	$0002e09d
GOTOGAME	$00248624
DMA256SCREEN	$0003bcab
DMAHPOS	$0002d8af
DMABG2VOFFSETS_L	$0002d7ce
DMA256SCREEN_FAST	$0003bd99
DAMENEMYSOUND_L	$00249116
DMA_SPRITES_L	$0003dc66
DMAHPOS_L	$0002d8ab
DMAPEPPERSCREEN	$0003bc81
TOGGLEBIT	$00000004
DAMYSCR_ISTRAT	$0009f8fd
DAMYSCR_SHAPESLIST	$0009f91f
MADBIKER_ISTRAT	$0009c15c
MADTRUCKER_ISTRAT	$0009c55e
MADBIKESDEAD	$0000000d
MADBIKERAP	$00000004
MADTRUCKERAP	$00000002
MADBIKERHP	$0000000a
MADTRUCKERHP	$00000040
BAZOOKA_STRAT	$000abfb5
BAZOOKA1R_ISTRAT	$000abf2f
BAZOOKAL_ISTRAT	$000abf45
BAZFALL_STRAT	$000ac208
BAZEXP_ISTRAT	$000ac1b9
BAZOOKAR_ISTRAT	$000abf4b
BAZFALL_ISTRAT	$000ac1f1
BAZOOKA_ICONT	$000abf5e
BAZOOKA1L_ISTRAT	$000abf29
BAZOOKA1_F	$00118c9f
BAZOOKA2_F	$00118d1b
BAZOOKA1_P	$00118c88
BAZOOKA2_P	$00118d0a
BAZOOKA1_F1	$00118cb9
BAZOOKA2_F1	$00118d32
BAZOOKA_F1	$00118b9d
BAZOOKA_F3	$00118ba9
BAZOOKA_F5	$00118bb4
BAZOOKA_F7	$00118bbf
BAZOOKA_F8	$00118bdc
BAZOOKA_F9	$00118c05
BAZZ_1_EBSP	$0011c587
BAZOOKA_F10	$00118c37
BAZZ_1	$00118000
BAZZ_1Q_EBSP	$000fe177
BAZOOKA	$00118000
BAZZ_1P	$000f8000
BAZZ_1Q	$000f8000
BAZOOKA_EBSP	$00118c87
BAZZ_1_F11	$0011c4a8
BAZZ_1_F12	$0011c4bc
BAZZ_1_F20	$0011c517
BAZZ_1_F21	$0011c52c
BAZZ_1_F14	$0011c4c7
BAZZ_1_F15	$0011c4f7
BAZZ_1_F22	$0011c536
BAZZ_1_F16	$0011c501
BAZZ_1_F24	$0011c540
BZACO_8	$000e8000
BAZZ_1_F18	$0011c50c
BAZZ_1_F26	$0011c54a
BAZZ_1_F28	$0011c555
BAZZ_1_F29	$0011c569
BAZZ_1P_F1	$000fe06b
BAZZ_1Q_F1	$000fe101
BAZOOKA_F	$00118b3a
BAZZ_1Q_F3	$000fe10d
BAZZ_1Q_F5	$000fe118
BAZZ_1Q_F6	$000fe135
BAZZ_1Q_F7	$000fe151
BAZOOKA_P	$00118a69
BAZOOKA1	$00118000
BAZOOKA2	$00118000
BAZZ_1_F1	$0011c441
BAZZ_1_F3	$0011c44b
BAZZ_1_F4	$0011c46a
BAZZ_1_F6	$0011c474
BAZZ_1_F7	$0011c493
BAZZ_1_F9	$0011c49d
BAZZ_1P_F	$000fe054
BAZZ_1Q_F	$000fe0ca
BAZZ_1P_P	$000fe03c
BAZZ_1Q_P	$000fe0b0
BAZZ_1_F	$0011c3a4
BAZZ_1_P	$0011c2c7
CAR_0	$0000ccab
CAR_1	$0000ccc7
C2	$00000022
CRABAP	$00000004
ARCH_0	$0000b0c7
CRABHP	$00000004
AFINRNGPL	$00000002
CARRIER	$0000cf4b
AFINVIEWPL	$00000010
ARCTANTAB	$00009274
CRANE_0_COL1	$007e7a5e
CRANE_0_COL2	$007e7a70
ARCTAN16_L	$0002f854
ARCH_0_COL	$007e7df4
CRANE_0_COL	$007e7a4c
ARCTAN16	$0002f85a
ARCH_0_COL1	$007e7e06
ARCH_0_COL2	$007e7e18
CRABB_STRAT	$0008c680
CRABT_ISTRAT	$0008c4f8
CRABWALKFSPEED	$00000008
CRABL_STRAT	$0008c6c7
CRABB_INIT	$0008c66f
CRABR_STRAT	$0008c747
CRABL_ISTRAT	$0008c4ca
CRABT_STRAT	$0008c6fe
CRABL_INIT	$0008c6b6
CRABWALKSPEED	$00000008
CRABR_INIT	$0008c736
CRABT_INIT	$0008c6ed
CRAB_CONT	$0008c562
CRAB_INIT	$0008c551
CRABB_ISTRAT	$0008c49c
CRABR_ISTRAT	$0008c526
CARRIER_STRAT	$000a864c
CARRIER_ISTRAT	$000a862d
CARRIERAP	$0000000a
CARRIERHP	$00000010
CARRIERB_ISTRAT	$000a868f
CARRIERC_ISTRAT	$000a875b
CRANE0_STRAT	$000ab916
CARRIERRATE	$0000001e
CRANE0COL_ISTRAT	$000aba15
CARRIERB_STRAT	$000a86a4
CARRIERC_STRAT	$000a8768
CRANE0_ISTRAT	$000ab885
CAR_0	$00118000
CAR_1	$00118000
ARCH_0	$000e8000
CARRIER	$000cec42
CAR_0_F	$0011bbae
CAR_1_F	$0011bdb9
CAR_0_P	$0011bb76
CAR_1_P	$0011bd83
CARRIER_F	$000cec7d
CARRIER_P	$000cec42
CAR_1_F10	$0011bf16
ARCH_0_F1	$000eeb72
CAR_0_F1	$0011bc30
CAR_0_F3	$0011bc3c
CAR_0_F4	$0011bd28
CAR_0_F6	$0011bd33
CAR_0_F8	$0011bd3f
CAR_0_F9	$0011bd6e
CAR_1_F1	$0011be28
CAR_1_F3	$0011be34
CAR_1_F5	$0011be40
CAR_1_F7	$0011be4c
CAR_1_F8	$0011bed0
CAR_1_F9	$0011bf0c
ARCH_0_F	$000eeb43
ARCH_0_P	$000eeb1c
CARRIER_F1	$000ceccd
CAR_0_EBSP	$0011bd82
CAR_1_EBSP	$0011bf52
ANDORF	$00001929
ANDROSS	$000094ac
ANDROSSCUBE	$000094e4
ANDROSSHOLE	$000094c8
ANDROSSPOSS	$007ef15b
ANDROSSL3C_A1	$00038589
ANDROSSHOLE_C	$000385af
ANDROSSL3_C	$00038585
ANDROSS_C	$00038590
ANDROSS	$0011edb4
ANDROSSCUBE_F	$0011ee40
ANDROSSCUBE_P	$0011ee25
ANDROSSCUBE	$0011edb4
ANDROSSHOLE	$0011edb4
BGDEMOCCR	$0014d56c
BGDEMOPCR	$0014d80c
SCALE	$000000e5
SCALECNT	$000000e7
SCALEJMP	$00001645
CAST1_COL	$007e6ff6
CAST2_COL	$007e6fe4
CAST3_COL	$007e6fd2
CAST1_COL2	$007e7008
CASTBIT_ISTRAT.HIT	$0009d305
CASTANET_ISTRAT	$0009cc5c
CASTBIT_ISTRAT	$0009d27d
CAST_REPEAT	$00000002
CASTANETAP	$0000000a
CASTANETHP	$00000078
ELASERFIREZOFF	$00000050
ELASER2	$00009bc8
DOAWIPE	$00001ad4
LEAF	$0000b6cb
ELASER2_S2	$00009be4
DEC_BASE	$00002800
ELASER2A	$00009bac
ELASERAP	$00000002
DEC_L	$0003ab5e
DEC_BG3_L	$0003ab40
DEC_CHR_L	$0003ab0b
DEC_BG_L	$0003ab22
ACTUALCREDS	$000df179
ELASER_STRAT	$0021a02e
ELASER_ISTRAT	$00219fff
ELASER2DIE_STRAT	$0021a0bb
ELASER2DIE_ISTRAT	$0021a068
LEAF_ISTRAT	$0009a39f
LEAF_F	$000fb841
LEAF_P	$000fb7b7
ELASER2_FS2	$0011efed
ELASER2_PS2	$0011ef8b
ELASER2	$0011edb4
LEAF_F1	$000fb85b
LEAF	$000f8000
ELASER2_S2	$0011edb4
ELASER2_F	$0011ef9a
ELASER2_P	$0011eeba
ELASER2A	$0011edb4
TMPSTATE	$000017f5
PAD_A	$00000080
PAD_B	$00008000
PAD_Y	$00004000
PAD_X	$00000040
TMPCL	$00001a05
PADL_A	$00000080
PADL_B	$00000080
PADL_Y	$00000040
PADL_X	$00000040
PAD_UP	$00000800
PAD_LEFT	$00000200
PAD_DOWN	$00000400
PADL_RIGHT	$00000001
PADL_TLEFT	$00000020
PADL_START	$00000010
MPTR	$00000076
TMPX	$00000070
TMPY	$00000072
TMPZ	$00000078
PADL_UP	$00000008
PADL_LEFT	$00000002
PADL_DOWN	$00000004
PAD_SELECT	$00002000
PAD_TRIGHT	$00000010
PADL_SELECT	$00000020
PAD_RIGHT	$00000100
PAD_TLEFT	$00000020
PAD_START	$00001000
PADL_TRIGHT	$00000010
PTMP_TANK	$0004ab62
DPATHS	$0004dd31
PDAMYSCR.SCR_ROT	$0004c52a
PDAMYSCR	$0004c51d
PDAMY_EXP2	$0004a5ef
PDAMY_EXP	$0004a5d2
WORMAP	$00000004
WORLDX	$000012a7
WORLDY	$000012a9
WORLDZ	$000012ab
WORMHP	$00000002
WORMGO_INIT	$0008cc8e
WORM2_ISTRAT	$0008ccd3
WORMEXP_ISTRAT	$0008cc11
WORMGO_STRAT	$0008cca8
WORMHEADEXP_ISTRAT	$0008cc24
WORM2_STRAT	$0008cd11
WORM_ISTRAT	$0008cb0a
WORM_INIT	$0008cb31
WORM_STRAT	$0008cb4d
WORMSPLIT_INIT	$0008cc30
WORMSPLIT_STRAT	$0008cc7b
WORMHEAD_ISTRAT	$0008cac9
BGETEST0PAC	$007f13a0
NEARESTZ	$000000cc
NEARESTPT	$000012d1
NEAREST	$000000ca
BGETESTPAC	$007f1480
NEAROBJS	$00248e7f
BGETEST2CCR	$0014e25c
BGETEST2PCR	$0014e334
BGETESTCCR	$0014e194
BGETESTPCR	$0014e1d8
FLAGS	$000012cf
DRAWFLAGS	$000000ce
CX	$00001677
RAD	$00000032
ALFREELST	$000012af
FLAGSET	$000019ff
FLASHBG	$00001a0f
DRAIL_0	$00009fbf
DRAIL_4	$00009ff7
CLB1	$0000001a
CLB2	$0000001c
DRAWMAP	$00000042
CLBM	$00000022
FLASHTUNNELON	$00001a12
DRAWOPT	$000000cf
AFLEFTPL	$00000004
FLASHSTARSFLAG	$0000174f
RADERAP	$00000004
RADERHP	$00000008
RADER_0	$0000ac4b
RADER_1	$0000ac67
DRAGONFLYAP	$00000008
DRAGONFLYHP	$00000002
DRAIL_0S	$0000a013
DRAWSHADOW	$00002000
FALCOTXT	$0001e813
FLAP_COL	$007e7638
FLASHTURQ_L	$0002f95b
FLASHTURQ2_L	$0002f98b
DRAWLINESBITBYBIT	$0003c0df
DRAWSOME3D	$0003dbb8
FLASH_C	$000388d0
DRAWROUTENAME	$0003bb9d
DRAWSELECTEDPLANET	$0003be74
DRAWPLANETLINES_L	$0003c15c
DRAWPLANETSPRITES	$0003bf99
DRAWPLANETINCENTRE	$0003bf3a
FLASHRED_L	$0002f9bb
FLASHSHIP	$00000034
FLASH_A1	$000388d2
FLASH_STRAT	$0021b717
FLASH_ISTRAT	$0021b6e8
FLATMISS_ISTRAT	$00219c6a
FLATMISS_STRAT	$00219c97
RADER0_STRAT	$0008b1bb
RADER0_ISTRAT	$0008b196
FLASHPLAYER_ISTRAT	$0008e263
RADER1_ISTRAT	$0008b18c
FLASHPLAYER_STRAT	$0008e285
FALLOVER_STRAT	$00099001
FALLINGTRUCK_ISTRAT	$0009d489
DRAGONFLY_STRAT	$000acc81
DRAGONFLY_ISTRAT	$000acc4c
DRAIL_0S_F	$000c9b9d
DRAIL_4_F1	$000c9b73
DRAIL_0S_P	$000c9b94
DRAIL_0S_F1	$000c9b9d
