frame,slot,xx,xy,xz,yx,yy,yz,zx,zy,zz,x,y,z,nx,ny,nz,distance
338,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
342,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
342,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
347,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
347,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
351,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
351,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
355,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
355,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
360,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
360,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
364,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
364,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
368,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
368,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
373,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
373,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
377,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
377,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
381,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
381,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
386,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
386,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
390,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
390,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
394,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
394,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
399,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
399,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
403,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
403,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
407,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
407,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
412,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
412,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
416,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
416,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
420,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
420,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
425,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
425,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
429,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
429,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
433,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
433,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
438,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
438,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
442,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
442,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
446,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
446,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
451,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
451,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
455,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
455,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
459,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
459,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
464,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
464,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
468,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
468,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
472,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
472,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
477,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
477,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
481,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
481,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
485,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
485,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
490,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
490,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
494,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
494,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
498,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
498,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
503,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
503,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
507,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
507,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
511,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
511,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
516,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
516,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
520,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
520,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
524,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
524,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
529,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
529,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
533,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
533,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
537,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
537,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
542,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
542,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
546,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
546,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
550,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
550,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
555,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
555,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
560,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
560,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
565,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
565,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
570,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
570,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
693,4,-31384,0,9415,-3239,30762,-10797,-8839,-11273,-29464,-304,347,949,0,-30760,11264,0
693,5,-31384,0,9415,-3239,30762,-10797,-8839,-11273,-29464,-304,347,949,0,30752,-11272,-2
696,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-163,53,1298,29680,11376,7912,183
696,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-163,53,1298,-29688,-11384,-7920,-186
701,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-161,50,1292,29680,11376,7912,182
701,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-161,50,1292,-29688,-11384,-7920,-186
705,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-159,48,1286,29680,11376,7912,181
705,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-159,48,1286,-29688,-11384,-7920,-184
710,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-157,46,1279,29680,11376,7912,180
710,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-157,46,1279,-29688,-11384,-7920,-184
715,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-155,44,1273,29680,11376,7912,181
715,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-155,44,1273,-29688,-11384,-7920,-184
720,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-153,41,1267,29680,11376,7912,180
720,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-153,41,1267,-29688,-11384,-7920,-184
724,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-151,39,1260,29680,11376,7912,180
724,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-151,39,1260,-29688,-11384,-7920,-183
728,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-149,37,1254,29680,11376,7912,179
728,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-149,37,1254,-29688,-11384,-7920,-183
732,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-147,34,1248,29680,11376,7912,178
732,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-147,34,1248,-29688,-11384,-7920,-181
736,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-145,32,1242,29680,11376,7912,178
736,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-145,32,1242,-29688,-11384,-7920,-182
740,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-143,30,1235,29680,11376,7912,178
740,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-143,30,1235,-29688,-11384,-7920,-181
744,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-141,27,1229,29680,11376,7912,177
744,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-141,27,1229,-29688,-11384,-7920,-181
748,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-139,25,1223,29680,11376,7912,177
748,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-139,25,1223,-29688,-11384,-7920,-180
752,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-137,23,1216,29680,11376,7912,175
752,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-137,23,1216,-29688,-11384,-7920,-178
756,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-135,20,1210,29680,11376,7912,175
756,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-135,20,1210,-29688,-11384,-7920,-178
760,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-133,18,1204,29680,11376,7912,175
760,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-133,18,1204,-29688,-11384,-7920,-179
764,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-131,16,1197,29680,11376,7912,175
764,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-131,16,1197,-29688,-11384,-7920,-178
769,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-129,14,1191,29680,11376,7912,174
769,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-129,14,1191,-29688,-11384,-7920,-177
773,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-127,11,1185,29680,11376,7912,173
773,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-127,11,1185,-29688,-11384,-7920,-176
776,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-125,9,1179,29680,11376,7912,173
776,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-125,9,1179,-29688,-11384,-7920,-176
781,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-123,7,1172,29680,11376,7912,172
781,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-123,7,1172,-29688,-11384,-7920,-176
784,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-121,4,1166,29680,11376,7912,172
784,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-121,4,1166,-29688,-11384,-7920,-175
788,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-119,2,1160,29680,11376,7912,172
788,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-119,2,1160,-29688,-11384,-7920,-175
793,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-117,0,1153,29680,11376,7912,172
793,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-117,0,1153,-29688,-11384,-7920,-173
796,4,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-114,-3,1147,29680,11376,7912,170
796,5,7435,-29689,11696,-28864,-11379,-10530,13601,-7915,-28733,-114,-3,1147,-29688,-11384,-7920,-174
